epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.064,0.27368,0.42208,0.97399,0.77282,0.89751,0.84196,0.65456,0.62955,1.11411,0.93064,0.000663636,0.000663636,0.000663636
2,403.36,0.29925,0.35033,0.96924,0.65341,0.81692,0.75667,0.60391,0.53403,0.80139,0.90189,0.00130396,0.00130396,0.00130396
3,587.758,0.27645,0.33375,0.95322,0.98391,0.99602,0.99439,0.96711,0.32036,0.41398,0.60807,0.00191789,0.00191789,0.00191789
4,3345.88,0.23361,0.2992,0.9333,0.93021,0.98408,0.97889,0.84606,0.44318,0.57413,0.76009,0.0018812,0.0018812,0.0018812
5,3537.78,0.2008,0.25407,0.91288,0.90142,0.94229,0.95968,0.88182,0.31546,0.54772,0.62232,0.0018416,0.0018416,0.0018416
6,3721.04,0.16801,0.21016,0.89497,0.9418,0.97711,0.98697,0.94695,0.36092,0.40619,0.65007,0.001802,0.001802,0.001802
7,3904.86,0.15127,0.19583,0.89385,0.96829,0.98308,0.99154,0.95034,0.30177,0.37238,0.55661,0.0017624,0.0017624,0.0017624
8,4088.97,0.1481,0.19031,0.89268,0.99147,0.999,0.99489,0.95635,0.4028,0.41492,0.60836,0.0017228,0.0017228,0.0017228
9,4272.7,0.13785,0.17743,0.88931,0.82209,0.99303,0.96939,0.85745,0.42615,0.96798,0.67216,0.0016832,0.0016832,0.0016832
10,4456.53,0.12452,0.15856,0.88126,0.97694,1,0.99361,0.98015,0.24871,0.35011,0.50413,0.0016436,0.0016436,0.0016436
11,4641.05,0.11542,0.14863,0.87106,0.98817,0.99768,0.99435,0.91514,0.37919,0.48309,0.63189,0.001604,0.001604,0.001604
12,4824.72,0.10686,0.13959,0.87192,0.9922,0.999,0.99498,0.98703,0.20219,0.23955,0.51044,0.0015644,0.0015644,0.0015644
13,5008.85,0.11187,0.15135,0.87793,0.98485,0.99204,0.99379,0.98283,0.18997,0.22111,0.49331,0.0015248,0.0015248,0.0015248
14,5192.5,0.10599,0.14307,0.87456,0.98925,0.99403,0.9946,0.98901,0.17683,0.27875,0.51647,0.0014852,0.0014852,0.0014852
15,5376.84,0.09811,0.12965,0.87096,0.99952,1,0.995,0.97351,0.21303,0.19513,0.48474,0.0014456,0.0014456,0.0014456
16,5561.12,0.09716,0.12825,0.86898,0.99603,0.99938,0.99498,0.98898,0.14935,0.16305,0.45176,0.001406,0.001406,0.001406
17,5744.97,0.09347,0.1303,0.87215,0.9891,0.99104,0.99404,0.98361,0.17712,0.23592,0.4494,0.0013664,0.0013664,0.0013664
18,5928.8,0.09375,0.12704,0.87172,0.99801,1,0.99488,0.98697,0.21229,0.17412,0.48933,0.0013268,0.0013268,0.0013268
19,6112.54,0.08762,0.11636,0.86781,0.99764,1,0.99455,0.99317,0.17842,0.18008,0.453,0.0012872,0.0012872,0.0012872
20,6297.24,0.08344,0.11368,0.86643,0.98487,0.99005,0.99366,0.97341,0.29545,0.33756,0.56435,0.0012476,0.0012476,0.0012476
21,6481.18,0.08472,0.11821,0.863,0.99888,1,0.995,0.99497,0.11198,0.17779,0.41737,0.001208,0.001208,0.001208
22,6665.14,0.07638,0.10357,0.86303,0.99894,1,0.99498,0.99481,0.13806,0.13666,0.43899,0.0011684,0.0011684,0.0011684
23,6848.8,0.07725,0.10966,0.86629,0.99673,0.99602,0.995,0.98171,0.19746,0.16983,0.46792,0.0011288,0.0011288,0.0011288
24,7032.63,0.07204,0.10278,0.86054,0.98423,0.99801,0.99381,0.98252,0.12889,0.19461,0.44711,0.0010892,0.0010892,0.0010892
25,7216.74,0.07055,0.10213,0.86517,0.99501,1,0.995,0.99491,0.15182,0.16501,0.43252,0.0010496,0.0010496,0.0010496
26,7400.55,0.07046,0.09824,0.86315,0.9931,0.999,0.99499,0.99477,0.15374,0.21096,0.45073,0.00101,0.00101,0.00101
27,7584.28,0.06618,0.09681,0.85946,0.99985,1,0.995,0.99487,0.11112,0.14921,0.41997,0.0009704,0.0009704,0.0009704
28,7768.09,inf,0.09563,0.86006,0.99995,1,0.995,0.995,0.12495,0.15942,0.43743,0.0009308,0.0009308,0.0009308
29,7952.51,0.06289,0.09197,0.85985,0.98622,0.99801,0.99312,0.96213,0.24417,0.32889,0.51088,0.0008912,0.0008912,0.0008912
30,8136.6,0.06281,0.09186,0.86148,0.99641,1,0.99498,0.99493,0.10788,0.14799,0.41141,0.0008516,0.0008516,0.0008516
31,8323.37,0.0579,0.08575,0.85896,0.99702,0.99998,0.99496,0.99484,0.09987,0.16557,0.40654,0.000812,0.000812,0.000812
32,8507.23,0.05705,0.08443,0.85934,0.99933,0.999,0.995,0.98458,0.16629,0.18159,0.44991,0.0007724,0.0007724,0.0007724
33,8691.16,0.05318,0.08388,0.85929,0.99888,0.999,0.995,0.995,0.07289,0.09326,0.36129,0.0007328,0.0007328,0.0007328
34,8875.63,0.05277,0.08262,0.85647,0.99994,1,0.995,0.99498,0.1007,0.13095,0.39644,0.0006932,0.0006932,0.0006932
35,9059.34,0.05073,0.07951,0.86127,0.99877,0.999,0.995,0.99488,0.11775,0.14426,0.40734,0.0006536,0.0006536,0.0006536
36,9243.19,0.04985,0.07801,0.8564,0.99994,1,0.995,0.99498,0.10894,0.14415,0.40416,0.000614,0.000614,0.000614
37,9426.68,0.04766,0.07272,0.85411,0.99881,1,0.995,0.99486,0.10817,0.16674,0.40681,0.0005744,0.0005744,0.0005744
38,9610.51,0.04538,0.07336,0.85743,0.99976,1,0.995,0.995,0.08881,0.12178,0.39856,0.0005348,0.0005348,0.0005348
