epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,202.345,1.44324,1.47031,1.62035,0.6617,0.78801,0.75133,0.47289,1.27296,1.31997,1.69556,0.00066621,0.00066621,0.00066621
2,349.928,1.3274,1.23291,1.5129,0.88284,0.75375,0.8817,0.58606,1.29997,1.0927,1.673,0.00132475,0.00132475,0.00132475
3,500.484,1.22526,1.06403,1.4363,0.87429,0.88009,0.94386,0.64478,1.18309,0.81431,1.57966,0.0019511,0.0019511,0.0019511
4,651.328,1.15453,0.9583,1.37808,0.9416,0.94647,0.981,0.70081,1.02356,0.6773,1.3915,0.0018921,0.0018921,0.0018921
5,801.526,1.09953,0.87136,1.33506,0.95241,0.93576,0.98341,0.71383,0.98195,0.5991,1.32177,0.00181093,0.00181093,0.00181093
6,954.947,1.04547,0.78207,1.29864,0.95662,0.97216,0.98898,0.73428,0.94206,0.5591,1.30463,0.00171004,0.00171004,0.00171004
7,1106.77,1.02014,0.76973,1.2783,0.98493,0.97969,0.99357,0.73692,0.92383,0.49924,1.29286,0.00159191,0.00159191,0.00159191
8,1266.83,0.99395,0.73412,1.27081,0.98983,0.97645,0.99393,0.75939,0.87174,0.48977,1.23558,0.00145945,0.00145945,0.00145945
9,1421.14,0.96618,0.68927,1.24164,0.9896,0.98287,0.99448,0.74516,0.91509,0.47315,1.2612,0.00131593,0.00131593,0.00131593
10,1576.88,0.93093,0.66329,1.21668,0.9532,0.98929,0.9918,0.75446,0.88113,0.48679,1.26421,0.00116487,0.00116487,0.00116487
11,1758.37,0.85131,0.4854,1.19531,0.97834,0.98287,0.99295,0.75362,0.8937,0.46012,1.22668,0.00101,0.00101,0.00101
12,1910.34,0.82099,0.4475,1.16428,0.99254,0.99143,0.99376,0.77836,0.81769,0.40959,1.18075,0.00085513,0.00085513,0.00085513
13,2057.89,0.79359,0.42241,1.14829,0.99537,0.99358,0.99474,0.76996,0.8484,0.40312,1.19495,0.000704073,0.000704073,0.000704073
14,2211.19,0.76378,0.39879,1.12632,0.9937,0.99143,0.99452,0.78929,0.79391,0.37841,1.14341,0.000560549,0.000560549,0.000560549
15,2364.32,0.73842,0.38089,1.1069,0.99109,0.99786,0.99496,0.79385,0.77408,0.36295,1.14004,0.000428093,0.000428093,0.000428093
16,2514.46,0.72626,0.36281,1.0983,0.9933,0.99572,0.99496,0.80133,0.76864,0.34938,1.13017,0.000309964,0.000309964,0.000309964
17,2661.94,0.70808,0.35111,1.08617,0.99758,0.99572,0.99498,0.8002,0.76158,0.34318,1.13011,0.000209073,0.000209073,0.000209073
18,2808.77,0.69801,0.34027,1.07314,0.99545,0.99572,0.99498,0.80303,0.75532,0.33801,1.11498,0.000127904,0.000127904,0.000127904
19,2963.38,0.68358,0.33067,1.06681,0.99786,0.99752,0.99498,0.81313,0.73848,0.32805,1.0959,6.8454e-05,6.8454e-05,6.8454e-05
20,3117.77,0.67958,0.32792,1.06282,0.99572,0.9975,0.99498,0.81096,0.7413,0.32687,1.10253,3.21885e-05,3.21885e-05,3.21885e-05
