epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7248,1.10084,1.30682,1.52308,0.66333,0.68433,0.67847,0.45516,0.95397,1.17908,1.35842,0.000544553,0.000544553,0.000544553
2,38.8121,0.98265,1.25777,1.40887,0.67221,0.67807,0.68405,0.44134,1.02969,1.15122,1.41139,0.00108439,0.00108439,0.00108439
3,50.4894,1.01808,1.20504,1.44005,0.72265,0.66027,0.71178,0.45884,1.06654,1.09179,1.44883,0.001562,0.001562,0.001562
4,93.7904,1.05422,1.40612,1.52309,0.66918,0.61148,0.62844,0.40177,1.11017,1.1648,1.52317,0.00145948,0.00145948,0.00145948
5,105.465,1.07159,1.24756,1.56168,0.68902,0.6019,0.62856,0.40472,1.10442,1.18337,1.52087,0.00131058,0.00131058,0.00131058
6,117.202,1.08854,1.30332,1.58842,0.64632,0.6304,0.6499,0.41007,1.08793,1.20414,1.52432,0.00113444,0.00113444,0.00113444
7,128.847,1.00028,1.21491,1.53279,0.68166,0.65812,0.67953,0.42014,1.04176,1.1785,1.45816,0.000941298,0.000941298,0.000941298
8,140.509,0.93053,1.13762,1.44629,0.71303,0.65807,0.69211,0.44399,1.01276,1.1386,1.44034,0.000742372,0.000742372,0.000742372
9,152.2,0.90671,1.08287,1.42859,0.72679,0.64027,0.68857,0.45121,0.97866,1.10105,1.40378,0.000549227,0.000549227,0.000549227
10,163.959,0.85343,1.02991,1.35672,0.67677,0.69571,0.70661,0.47177,0.95784,1.05236,1.39256,0.000373088,0.000373088,0.000373088
11,176.119,0.87712,1.0174,1.37204,0.71346,0.68903,0.71345,0.48218,0.94988,1.02872,1.38803,0.00022419,0.00022419,0.00022419
12,188.253,0.83106,1.03128,1.38213,0.71165,0.69373,0.71565,0.48785,0.93901,1.02003,1.37955,0.000111188,0.000111188,0.000111188
13,200.26,0.858,1.00271,1.37413,0.71212,0.68837,0.7151,0.48976,0.9337,1.02287,1.37402,4.06478e-05,4.06478e-05,4.06478e-05
