epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,196.387,1.0398,1.52646,1.54435,0.76623,0.31665,0.27166,0.13569,1.37048,1.76649,1.76665,0.000555053,0.000555053,0.000555053
2,349.289,1.07451,1.46856,1.57434,0.77077,0.37017,0.30802,0.14994,1.2852,1.64757,1.69753,0.00110395,0.00110395,0.00110395
3,497.233,0.97606,1.37118,1.50609,0.80591,0.34589,0.37297,0.2075,1.15012,1.35898,1.61785,0.00162602,0.00162602,0.00162602
4,672.54,0.92163,1.29746,1.46942,0.80952,0.36075,0.37109,0.2201,1.04252,1.30303,1.52022,0.00157706,0.00157706,0.00157706
5,857.826,0.83355,1.21343,1.41039,0.76982,0.37066,0.34144,0.20432,1.0839,1.4164,1.51125,0.00150941,0.00150941,0.00150941
6,1045.7,0.79845,1.17044,1.37964,0.30334,0.53181,0.43397,0.27206,0.90858,1.12128,1.3308,0.00142531,0.00142531,0.00142531
7,1196.48,0.75348,1.12537,1.34884,0.35285,0.46361,0.3971,0.25376,0.98315,1.12138,1.36721,0.00132685,0.00132685,0.00132685
8,1347.06,0.72186,1.10059,1.3318,0.83951,0.39247,0.42231,0.27653,0.90164,1.03859,1.2838,0.00121645,0.00121645,0.00121645
9,1496.5,0.70734,1.07483,1.31978,0.83922,0.38801,0.43012,0.29515,0.77634,0.99717,1.19287,0.00109683,0.00109683,0.00109683
10,1645.56,0.67422,1.04215,1.29865,0.29028,0.55386,0.43628,0.29791,0.77678,1.02502,1.20605,0.000970919,0.000970919,0.000970919
11,1989.56,0.76493,1.05451,1.42106,0.43506,0.4815,0.44073,0.29429,0.77704,1.03855,1.16253,0.000841835,0.000841835,0.000841835
12,2136.66,0.74334,0.9966,1.39744,0.63885,0.45002,0.4757,0.3325,0.75006,0.99159,1.15691,0.000712751,0.000712751,0.000712751
13,2284.79,0.69965,0.96043,1.36203,0.4371,0.53881,0.46592,0.33165,0.72433,0.94607,1.14678,0.000586845,0.000586845,0.000586845
14,2427.47,0.6805,0.94238,1.34056,0.51132,0.51332,0.49064,0.3358,0.76207,0.91411,1.14214,0.000467218,0.000467218,0.000467218
15,2595.26,0.6443,0.91528,1.30664,0.39164,0.61814,0.49706,0.34102,0.72274,0.908,1.10846,0.000356815,0.000356815,0.000356815
16,2779.01,0.61565,0.87439,1.2841,0.42803,0.60847,0.50644,0.35388,0.70738,0.89605,1.10001,0.000258355,0.000258355,0.000258355
17,2927.5,0.60304,0.84967,1.27282,0.61814,0.49072,0.5094,0.36896,0.67763,0.88284,1.07002,0.000174262,0.000174262,0.000174262
18,3077.09,0.58007,0.83879,1.25098,0.55718,0.5537,0.51726,0.3676,0.64973,0.87943,1.05583,0.000106608,0.000106608,0.000106608
19,3222.45,0.56596,0.81876,1.24851,0.53544,0.54372,0.52191,0.36714,0.65917,0.88776,1.05435,5.70564e-05,5.70564e-05,5.70564e-05
20,3369.04,0.55598,0.82224,1.23116,0.5838,0.53069,0.52347,0.37459,0.63547,0.8774,1.04007,2.68292e-05,2.68292e-05,2.68292e-05
